,,,,,,,,,,,,,,
,Table S1A. Met-Seq Enriched Open Reading Frames*,,,,,,,,,,,,,
,Gene ID **,Name,Category ***,Annotation ,Ave Unique hits (treatment),Ave. Unique hits (control),Ave. Raw Reads (treatment),Ave. Raw Reads (control),Ratio_ Insertions (Treatment/ control),Log2-fold Change (Insertions),Ratio_reads (Treatment/control),Log2-fold Change (reads),pvalue (proportions_reads),Adj. pvalue (proportions_reads)
,PA0709,,3,ABM domain protein,1.00,0.00,136.00,0.00,9.72,3.28,41.32,5.37,1.29E-10,2.14E-09
,PA0747,,3,Probable aldehyde dehydrogenase,1.00,0.00,134.00,0.00,9.72,3.28,41.32,5.37,1.29E-10,2.14E-09
,PA0959,,10,HIT domain protein,1.00,0.00,192.00,0.00,9.72,3.28,41.32,5.37,1.29E-10,2.14E-09
,PA3751,PurT,3,Phosphoribosylglycinamide formyltransferase 2 (purine biosynthesis),1.00,0.00,162.00,0.00,9.72,3.28,41.32,5.37,1.29E-10,2.14E-09
,PA3798,,3,PLP-dependent aminotransferase or kynurenine aminotransferase (putative),1.00,0.00,119.00,0.00,9.72,3.28,41.32,5.37,1.29E-10,2.14E-09
,PA5457,WbdD,3,Common polysaccaride antigen (CPA) biosynthesis (O-antigen synthesis methyltransferase),1.00,0.00,621.00,0.00,9.72,3.28,41.32,5.37,1.29E-10,2.14E-09
,PA1963,,16,Hydrophobic peptide required for survival in oxygen,1.00,0.00,23.00,0.00,9.72,3.28,14.62,3.87,1.31E-04,1.46E-04
,PA1108,,9,Tet resistance protein (transporter),1.00,0.00,22.00,0.00,9.72,3.28,13.98,3.81,1.84E-04,2.04E-04
,PA0527,Dnr,13,Transcriptional regulator Dnr Phosphatidylethanolamine (PE),1.00,0.00,10.00,0.00,9.72,3.28,6.36,2.67,1.17E-02,1.24E-02
,PA0028,,16,lipid taxis system (3' to HemF operon),1.00,1.00,147.00,91.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0099,,8,Vrgb1-dependent nuclease toxin secreted by T6SS,1.00,1.00,272.00,95.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0149,,13,"Sigma-70 factor, ECF subfamily; Regulates iron/metal uptake",1.00,1.00,131.00,165.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0182,FabG-like,11,"FabG homolog, function unknown",1.00,1.00,141.00,28.00,1.00,1.00,4.13,2.05,5.74E-06,2.86E-05
,PA0249,,7,Predicted GNAT acetyltransferase,1.00,1.00,551.00,328.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0277,,9,HtpX Zn-dependent protease chaperone,1.00,1.00,155.00,95.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0278,TauE/SafE,9,Sulfite exporter TauE/SafE,1.00,1.00,378.00,363.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0281,CysW,9,Sulfate transporter CysW ,1.00,1.00,106.00,179.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0319,,16,Part of the car calcium responsive operon,1.00,1.00,192.00,74.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0491,,13,Predicted LysR type transcriptional regulator of unknown function,1.00,1.00,1581.00,6208.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0765,MucC,13,Positive regulator for alginate biosynthesis,1.00,1.00,1338.00,170.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0887,AcsA,3,Acetyl-CoA synthetase Bacterial defensin resistance,1.00,1.00,126.00,132.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA0920,MprF,16,Bacterial defensin resistance protein (virulence factor); In operon with VirJ,1.00,1.00,113.00,10.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA1001,PhnA,1,Anthranilate synthase component I,2.00,2.00,351.00,164.00,4.86,2.28,4.13,2.05,1.41E-10,2.16E-09
,PA1141,,13,"LysR-type transcriptional regulator, similar fold to OxyR",1.00,1.00,187.00,188.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA1169,,8,Arachidonate 15-lipoxygenase,1.00,1.00,175.00,83.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
,PA1179,PhoP,13,Two-componentresponse regulator PhoP,1.00,1.00,91.00,33.00,1.00,0.00,4.13,2.05,5.74E-06,2.86E-05
